ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
75, 101, (36.8;23.7;1.8),["None": 0.82]["ant insula": 0.18],["Insula_R": 0.51]["Frontal_Inf_Tri_R": 0.22]["Putamen_R": 0.15]["Frontal_Inf_Orb_R": 0.12],["Right Insula Lobe": 0.51]["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.29]["Right Putamen": 0.12],["Right Inferior Frontal Gyrus": 0.65]["Right Insula": 0.15]["Right Claustrum": 0.14],["Right Insular Cortex": 0.36]["Right Frontal Orbital Cortex": 0.32]["Right Frontal Operculum Cortex": 0.32]
76, 166, (12.6;-72.8;-7.0),["None": 0.86],["Lingual_R": 0.84]["Cerebelum_6_R": 0.11],["Right Lingual Gyrus": 0.49]["Right Cerebellum": 0.33]["Cerebellar Vermis": 0.19],["Right Lingual Gyrus": 0.45]["Right Declive": 0.45]["Right Culmen": 0.11],["Right Lingual Gyrus": 0.86]["Right Occipital Fusiform Gyrus": 0.13]
77, 130, (-8.7;-33.4;43.0),["None": 0.92],["Cingulum_Mid_L": 0.94],["Left Middle Cingulate Cortex": 0.84]["None": 0.12],["Left Cingulate Gyrus": 0.57]["Left Paracentral Lobule": 0.22]["Left Precuneus": 0.19],["Left Cingulate Gyrus; posterior division": 0.65]["Left Precentral Gyrus": 0.22]
78, 121, (-8.9;-70.5;-32.6),["None": 0.88]["inf cerebellum": 0.12],["Cerebelum_8_L": 0.40]["Cerebelum_Crus2_L": 0.27]["Cerebelum_Crus1_L": 0.18],["Left Cerebellum": 0.45]["Left Cerebellum": 0.30]["Left Cerebellum": 0.16],["Left Inferior Semi-Lunar Lobule": 0.55]["Left Uvula": 0.32],["None": 1.00]
80, 77, (26.8;58.1;-4.3),["None": 1.00],["Frontal_Mid_Orb_R": 0.38]["Frontal_Sup_Orb_R": 0.29]["Frontal_Sup_R": 0.25],["Right Middle Orbital Gyrus": 0.53]["Right Superior Orbital Gyrus": 0.40],["Right Superior Frontal Gyrus": 0.92],["Right Frontal Pole": 1.00]
81, 107, (53.2;-8.8;39.3),["None": 0.91],["Postcentral_R": 0.51]["Precentral_R": 0.49],["Right Postcentral Gyrus": 0.67]["RightPrecentral Gyrus": 0.33],["Right Precentral Gyrus": 0.88]["Right Postcentral Gyrus": 0.12],["Right Precentral Gyrus": 0.58]["Right Postcentral Gyrus": 0.42]
82, 96, (-41.9;1.6;-17.9),["None": 1.00],["Temporal_Pole_Sup_L": 0.50]["Temporal_Mid_L": 0.27],["Left Temporal Pole": 0.51]["Left Middle Temporal Gyrus": 0.31]["Left Medial Temporal Pole": 0.13],["Left Superior Temporal Gyrus": 0.56]["Left Middle Temporal Gyrus": 0.25]["None": 0.11],["Left Temporal Pole": 0.48]["Left Planum Polare": 0.28]["Left Insular Cortex": 0.11]
83, 110, (48.7;-58.7;-25.7),["None": 1.00],["Cerebelum_Crus1_R": 0.61]["Temporal_Inf_R": 0.29],["Right Cerebellum": 0.82],["Right Tuber": 0.55]["Right Cerebellar Tonsil": 0.24]["Right Declive": 0.13],["None": 0.58]["Right Inferior Temporal Gyrus; temporooccipital part": 0.19]["Right Temporal Occipital Fusiform Cortex": 0.15]
84, 72, (0.4;58.0;1.7),["None": 0.89],["Frontal_Sup_Medial_L": 0.50]["Frontal_Sup_Medial_R": 0.39],["Left Mid Orbital Gyrus": 0.43]["Right Mid Orbital Gyrus": 0.33]["Left Superior Medial Gyrus": 0.14],["Left Medial Frontal Gyrus": 0.49]["Right Medial Frontal Gyrus": 0.38],["Right Frontal Pole": 0.61]["Left Frontal Pole": 0.39]
85, 131, (-25.9;-37.4;-5.5),["None": 0.96],["Hippocampus_L": 0.43]["ParaHippocampal_L": 0.40]["Fusiform_L": 0.12],["Left ParaHippocampal Gyrus": 0.45]["Left Hippocampus": 0.24]["Left Fusiform Gyrus": 0.23],["Left Parahippocampal Gyrus": 0.73],["Left Hippocampus": 0.60]["Left Parahippocampal Gyrus; posterior division": 0.20]["Left Lingual Gyrus": 0.13]
87, 48, (-37.3;-17.1;-23.8),["None": 1.00],["Fusiform_L": 0.46]["Temporal_Inf_L": 0.44],["Left Inferior Temporal Gyrus": 0.63]["Left Fusiform Gyrus": 0.38],["Left Fusiform Gyrus": 0.35]["Left Parahippocampal Gyrus": 0.35]["Left Inferior Temporal Gyrus": 0.19],["Left Temporal Fusiform Cortex; posterior division": 0.46]["Left Hippocampus": 0.27]["Left Inferior Temporal Gyrus; posterior division": 0.23]
88, 128, (-39.3;33.0;31.1),["None": 0.95],["Frontal_Mid_L": 0.70]["Frontal_Inf_Tri_L": 0.30],["Left Middle Frontal Gyrus": 0.66]["Left Inferior Frontal Gyrus (p. Triangularis)": 0.34],["Left Middle Frontal Gyrus": 0.95],["Left Middle Frontal Gyrus": 0.86]["Left Frontal Pole": 0.14]
89, 136, (2.2;22.7;54.8),["None": 1.00],["Supp_Motor_Area_R": 0.41]["Supp_Motor_Area_L": 0.29]["Frontal_Sup_Medial_R": 0.16]["Frontal_Sup_Medial_L": 0.14],["Right SMA": 0.34]["Left SMA": 0.24]["Right Superior Medial Gyrus": 0.24]["Left Superior Medial Gyrus": 0.19],["Right Superior Frontal Gyrus": 0.63]["Left Superior Frontal Gyrus": 0.34],["Right Superior Frontal Gyrus": 0.63]["Left Superior Frontal Gyrus": 0.18]["Right Paracingulate Gyrus": 0.15]
90, 106, (-22.9;-27.2;66.5),["None": 0.83]["parietal": 0.17],["Precentral_L": 0.57]["Postcentral_L": 0.36],["Left Postcentral Gyrus": 0.49]["Left Precentral Gyrus": 0.43],["Left Postcentral Gyrus": 0.42]["Left Precentral Gyrus": 0.42]["None": 0.16],["Left Precentral Gyrus": 0.63]["Left Postcentral Gyrus": 0.37]
91, 95, (-28.5;-4.9;-22.2),["None": 1.00],["Amygdala_L": 0.42]["Hippocampus_L": 0.35],["Left Hippocampus": 0.23]["Left Temporal Pole": 0.21]["Left Amygdala": 0.17]["Left ParaHippocampal Gyrus": 0.14]["Left Fusiform Gyrus": 0.13],["Left Parahippocampal Gyrus": 0.60]["Left Uncus": 0.37],["Left Amygdala": 0.62]["Left Hippocampus": 0.20]["None": 0.11]
92, 112, (16.8;-60.5;17.4),["None": 0.87],["Calcarine_R": 0.52]["Precuneus_R": 0.30]["Cuneus_R": 0.17],["Right Calcarine Gyrus": 0.81]["Right Precuneus": 0.13],["Right Posterior Cingulate": 0.65]["Right Precuneus": 0.21],["Right Precuneous Cortex": 0.63]["Right Intracalcarine Cortex": 0.18]["Right Supracalcarine Cortex": 0.16]
93, 126, (24.2;40.1;40.8),["None": 0.97],["Frontal_Sup_R": 0.61]["Frontal_Mid_R": 0.39],["Right Superior Frontal Gyrus": 0.52]["Right Middle Frontal Gyrus": 0.48],["Right Superior Frontal Gyrus": 0.63]["Right Middle Frontal Gyrus": 0.37],["Right Frontal Pole": 0.90]
94, 126, (-55.4;-61.8;-4.0),["None": 0.99],["Temporal_Mid_L": 0.56]["Temporal_Inf_L": 0.37],["Left Inferior Temporal Gyrus": 0.40]["Left Middle Temporal Gyrus": 0.33]["None": 0.14]["Left Inferior Occipital Gyrus": 0.13],["Left Inferior Temporal Gyrus": 0.34]["Left Middle Temporal Gyrus": 0.29]["Left Middle Occipital Gyrus": 0.25]["Left Fusiform Gyrus": 0.13],["Left Lateral Occipital Cortex; inferior division": 0.55]["Left Middle Temporal Gyrus; temporooccipital part": 0.34]["Left Inferior Temporal Gyrus; temporooccipital part": 0.11]
95, 128, (-54.0;-11.6;38.2),["None": 0.84]["parietal": 0.11],["Postcentral_L": 0.88]["Precentral_L": 0.12],["Left Postcentral Gyrus": 0.83]["Left Precentral Gyrus": 0.17],["Left Precentral Gyrus": 0.75]["Left Postcentral Gyrus": 0.25],["Left Postcentral Gyrus": 0.57]["Left Precentral Gyrus": 0.43]
96, 125, (40.5;34.6;30.5),["None": 0.77]["dlPFC": 0.15],["Frontal_Mid_R": 0.73]["Frontal_Inf_Tri_R": 0.27],["Right Middle Frontal Gyrus": 0.87]["Right Inferior Frontal Gyrus (p. Triangularis)": 0.13],["Right Middle Frontal Gyrus": 0.90],["Right Frontal Pole": 0.51]["Right Middle Frontal Gyrus": 0.49]
97, 74, (12.9;-38.6;-42.0),["None": 1.00],["Cerebelum_9_R": 0.47]["None": 0.39]["Cerebelum_10_R": 0.11],["Right Cerebellum": 0.59]["None": 0.31],["None": 0.66]["Right Cerebellar Tonsil": 0.34],["None": 1.00]
98, 96, (14.8;-26.8;7.5),["None": 0.85]["basal ganglia": 0.15],["Thalamus_R": 0.96],["Right Thalamus": 0.92],["Right Thalamus": 0.99],["Right Thalamus": 1.00]
99, 95, (2.4;-25.5;34.0),["None": 0.80]["post cingulate": 0.20],["Cingulum_Mid_R": 0.54]["Cingulum_Mid_L": 0.25]["None": 0.21],["Right Middle Cingulate Cortex": 0.44]["None": 0.34]["Left Middle Cingulate Cortex": 0.22],["Right Cingulate Gyrus": 0.58]["Left Cingulate Gyrus": 0.34],["Right Cingulate Gyrus; posterior division": 0.83]["Left Cingulate Gyrus; posterior division": 0.17]
100, 111, (-0.2;9.1;-6.3),["None": 1.00],["Caudate_L": 0.36]["Olfactory_L": 0.26]["Olfactory_R": 0.18]["Caudate_R": 0.14],["Left Olfactory cortex": 0.40]["Right Olfactory cortex": 0.31]["Left Caudate Nucleus": 0.19],["Left Subcallosal Gyrus": 0.31]["Right Anterior Cingulate": 0.20]["Right Subcallosal Gyrus": 0.14]["Right Caudate": 0.13],["Right Subcallosal Cortex": 0.38]["Left Accumbens": 0.22]["Left Subcallosal Cortex": 0.16]
101, 88, (41.6;15.0;-31.0),["None": 1.00],["Temporal_Pole_Mid_R": 0.60]["Temporal_Pole_Sup_R": 0.40],["Right Medial Temporal Pole": 0.80]["Right Temporal Pole": 0.20],["Right Superior Temporal Gyrus": 0.72]["Right Middle Temporal Gyrus": 0.18],["Right Temporal Pole": 1.00]
102, 126, (-39.6;-37.5;43.8),["None": 0.67]["IPL": 0.15],["Parietal_Inf_L": 0.82]["Postcentral_L": 0.15],["Left Inferior Parietal Lobule ": 0.80],["Left Inferior Parietal Lobule": 0.63]["Left Postcentral Gyrus": 0.16]["Left Supramarginal Gyrus": 0.11],["Left Postcentral Gyrus": 0.33]["Left Supramarginal Gyrus; anterior division": 0.30]["Left Superior Parietal Lobule": 0.26]
103, 97, (7.4;19.1;38.2),["None": 0.78]["dACC": 0.16],["Cingulum_Mid_R": 0.87],["Right Middle Cingulate Cortex": 0.88],["Right Cingulate Gyrus": 0.78]["Right Medial Frontal Gyrus": 0.19],["Right Paracingulate Gyrus": 0.60]["Right Cingulate Gyrus; anterior division": 0.40]
104, 126, (-16.7;-52.1;66.1),["None": 1.00],["Parietal_Sup_L": 0.55]["Precuneus_L": 0.44],["Left Superior Parietal Lobule ": 0.65]["Left Precuneus": 0.33],["Left Superior Parietal Lobule": 0.37]["Left Postcentral Gyrus": 0.31]["None": 0.24],["Left Superior Parietal Lobule": 0.64]["Left Postcentral Gyrus": 0.21]
105, 112, (47.3;-75.6;3.9),["None": 0.97],["Occipital_Mid_R": 0.47]["Temporal_Mid_R": 0.44],["Right Inferior Occipital Gyrus": 0.38]["Right Middle Occipital Gyrus": 0.36]["Right Inferior Temporal Gyrus": 0.15]["Right Middle Temporal Gyrus": 0.11],["Right Middle Occipital Gyrus": 0.83]["Right Inferior Temporal Gyrus": 0.14],["Right Lateral Occipital Cortex; inferior division": 1.00]
106, 70, (-24.8;59.6;8.4),["None": 0.87]["aPFC": 0.13],["Frontal_Sup_L": 0.69]["Frontal_Mid_L": 0.31],["Left Superior Frontal Gyrus": 0.46]["Left Middle Frontal Gyrus": 0.34]["Left Superior Orbital Gyrus": 0.20],["Left Superior Frontal Gyrus": 0.64]["Left Middle Frontal Gyrus": 0.36],["Left Frontal Pole": 1.00]
107, 105, (30.1;-5.7;5.5),["None": 0.82]["mid insula": 0.13],["Putamen_R": 0.85]["Pallidum_R": 0.15],["Right Putamen": 0.83]["Right Pallidum": 0.17],["Right Lentiform Nucleus": 0.81]["Right Claustrum": 0.14],["Right Putamen": 0.83]["Right Insular Cortex": 0.13]
108, 126, (-7.5;-86.3;29.7),["None": 0.97],["Cuneus_L": 0.83]["Occipital_Sup_L": 0.17],["Left Cuneus": 0.71]["Left Superior Occipital Gyrus": 0.29],["Left Cuneus": 0.99],["Left Cuneal Cortex": 0.59]["Left Occipital Pole": 0.20]["Left Lateral Occipital Cortex; superior division": 0.11]
109, 110, (1.0;33.3;13.8),["None": 1.00],["Cingulum_Ant_L": 0.55]["Cingulum_Ant_R": 0.45],["Left Anterior Cingulate Cortex": 0.54]["Right Anterior Cingulate Cortex": 0.45],["Left Anterior Cingulate": 0.55]["Right Anterior Cingulate": 0.45],["Right Cingulate Gyrus; anterior division": 0.73]["Left Cingulate Gyrus; anterior division": 0.27]
110, 105, (51.2;-47.0;-17.5),["None": 1.00],["Temporal_Inf_R": 0.90],["Right Inferior Temporal Gyrus": 0.87],["Right Fusiform Gyrus": 0.46]["Right Tuber": 0.18]["Right Inferior Temporal Gyrus": 0.15]["Right Culmen": 0.11],["Right Inferior Temporal Gyrus; temporooccipital part": 0.81]["Right Temporal Occipital Fusiform Cortex": 0.16]
111, 75, (29.5;-4.7;-37.3),["None": 1.00],["Fusiform_R": 0.65]["ParaHippocampal_R": 0.31],["Right Fusiform Gyrus": 0.67]["None": 0.13]["Right ParaHippocampal Gyrus": 0.12],["Right Uncus": 0.63]["Right Inferior Temporal Gyrus": 0.19]["None": 0.13],["Right Temporal Fusiform Cortex; anterior division": 0.56]["Right Parahippocampal Gyrus; anterior division": 0.44]
112, 95, (-44.0;3.7;-37.9),["None": 1.00],["Temporal_Inf_L": 0.69]["None": 0.16]["Temporal_Pole_Mid_L": 0.11],["Left Inferior Temporal Gyrus": 0.52]["None": 0.35]["Left Medial Temporal Pole": 0.13],["Left Middle Temporal Gyrus": 0.51]["None": 0.38]["Left Inferior Temporal Gyrus": 0.12],["Left Temporal Pole": 0.68]["Left Inferior Temporal Gyrus; anterior division": 0.28]
113, 138, (9.2;3.0;66.3),["None": 1.00],["Supp_Motor_Area_R": 0.99],["Right SMA": 0.91],["Right Superior Frontal Gyrus": 0.62]["Right Medial Frontal Gyrus": 0.22]["None": 0.16],["Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.55]["Right Superior Frontal Gyrus": 0.45]
114, 120, (-39.5;-86.2;3.4),["None": 0.89],["Occipital_Mid_L": 0.97],["Left Middle Occipital Gyrus": 0.86],["Left Middle Occipital Gyrus": 0.85]["Left Inferior Occipital Gyrus": 0.15],["Left Lateral Occipital Cortex; inferior division": 0.87]
115, 119, (61.9;-36.3;34.4),["None": 1.00],["SupraMarginal_R": 1.00],["Right SupraMarginal Gyrus": 0.83]["Right Superior Temporal Gyrus": 0.17],["Right Inferior Parietal Lobule": 0.85],["Right Supramarginal Gyrus; posterior division": 0.65]["Right Supramarginal Gyrus; anterior division": 0.28]
116, 116, (10.0;57.7;26.1),["None": 0.97],["Frontal_Sup_Medial_R": 0.78]["Frontal_Sup_R": 0.22],["Right Superior Medial Gyrus": 0.78]["Right Superior Frontal Gyrus": 0.22],["Right Superior Frontal Gyrus": 0.85]["Right Medial Frontal Gyrus": 0.15],["Right Frontal Pole": 0.74]["Right Superior Frontal Gyrus": 0.26]
117, 90, (-42.5;-18.4;43.7),["None": 0.92],["Postcentral_L": 0.94],["Left Postcentral Gyrus": 0.89],["Left Precentral Gyrus": 0.59]["Left Postcentral Gyrus": 0.41],["Left Postcentral Gyrus": 0.60]["Left Precentral Gyrus": 0.40]
118, 150, (-7.3;-48.3;52.0),["None": 0.99],["Precuneus_L": 0.77]["Cingulum_Mid_L": 0.23],["Left Precuneus": 0.83]["Left Middle Cingulate Cortex": 0.17],["Left Precuneus": 0.74]["Left Paracentral Lobule": 0.21],["Left Precuneous Cortex": 0.81]["Left Postcentral Gyrus": 0.15]
119, 112, (40.5;-74.5;-26.5),["None": 0.97],["Cerebelum_Crus1_R": 0.92],["Right Cerebellum": 0.80]["Right Cerebellum": 0.19],["Right Tuber": 0.48]["Right Inferior Semi-Lunar Lobule": 0.19]["Right Pyramis": 0.14]["Right Declive": 0.11],["None": 0.89]
120, 148, (-34.7;-78.7;34.9),["None": 0.86],["Occipital_Mid_L": 0.90],["Left Middle Occipital Gyrus": 0.91],["Left Precuneus": 0.45]["Left Superior Occipital Gyrus": 0.32],["Left Lateral Occipital Cortex; superior division": 1.00]
121, 83, (29.9;32.3;-15.2),["None": 1.00],["Frontal_Inf_Orb_R": 0.77]["Frontal_Mid_Orb_R": 0.12]["Frontal_Sup_Orb_R": 0.11],["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.51]["Right Middle Orbital Gyrus": 0.22]["Right Superior Orbital Gyrus": 0.14]["None": 0.13],["Right Middle Frontal Gyrus": 0.51]["Right Inferior Frontal Gyrus": 0.46],["Right Frontal Orbital Cortex": 0.67]["Right Frontal Pole": 0.31]
122, 162, (-7.2;-77.3;7.7),["None": 0.88]["post occipital": 0.12],["Calcarine_L": 0.59]["Lingual_L": 0.39],["Left Lingual Gyrus": 0.51]["Left Calcarine Gyrus": 0.48],["Left Cuneus": 0.48]["Left Lingual Gyrus": 0.45],["Left Intracalcarine Cortex": 0.62]["Left Lingual Gyrus": 0.27]
123, 96, (-45.4;29.6;-5.2),["None": 1.00],["Frontal_Inf_Orb_L": 0.78]["Frontal_Inf_Tri_L": 0.22],["Left Inferior Frontal Gyrus (p. Orbitalis)": 0.78]["Left Inferior Frontal Gyrus (p. Triangularis)": 0.22],["Left Inferior Frontal Gyrus": 0.93],["Left Frontal Orbital Cortex": 0.61]["Left Inferior Frontal Gyrus; pars triangularis": 0.23]
124, 118, (12.3;-41.4;70.2),["None": 1.00],["Postcentral_R": 0.55]["Paracentral_Lobule_R": 0.35],["Right Postcentral Gyrus": 0.48]["Right Paracentral Lobule": 0.24]["Right Precuneus": 0.19],["None": 0.53]["Right Postcentral Gyrus": 0.36]["Right Paracentral Lobule": 0.11],["Right Postcentral Gyrus": 0.87]
125, 108, (24.2;8.2;1.3),["None": 1.00],["Putamen_R": 0.81]["Pallidum_R": 0.19],["Right Putamen": 0.86]["Right Pallidum": 0.11],["Right Lentiform Nucleus": 0.85],["Right Putamen": 0.89]
126, 84, (-2.5;-30.4;-39.8),["None": 1.00],["None": 1.00],["None": 1.00],["None": 1.00],["None": 1.00]
127, 92, (-42.1;-64.8;-33.5),["None": 0.95],["Cerebelum_Crus1_L": 0.82]["Cerebelum_Crus2_L": 0.18],["Left Cerebellum": 0.64]["Left Cerebellum": 0.36],["Left Inferior Semi-Lunar Lobule": 0.43]["Left Cerebellar Tonsil": 0.30]["Left Pyramis": 0.13]["Left Tuber": 0.13],["None": 1.00]
128, 117, (52.1;-22.9;-5.1),["None": 0.93],["Temporal_Mid_R": 0.54]["Temporal_Sup_R": 0.45],["Right Middle Temporal Gyrus": 0.68]["Right Superior Temporal Gyrus": 0.26],["Right Middle Temporal Gyrus": 0.74]["Right Superior Temporal Gyrus": 0.25],["Right Middle Temporal Gyrus; posterior division": 0.51]["Right Superior Temporal Gyrus; posterior division": 0.45]
129, 111, (-19.5;19.5;57.3),["None": 0.99],["Frontal_Sup_L": 0.62]["Frontal_Mid_L": 0.35],["Left Superior Frontal Gyrus": 0.59]["Left Middle Frontal Gyrus": 0.41],["Left Superior Frontal Gyrus": 0.80]["Left Middle Frontal Gyrus": 0.15],["Left Superior Frontal Gyrus": 0.97]
130, 110, (-34.5;-17.4;1.9),["None": 0.82]["mid insula": 0.17],["Insula_L": 0.37]["Putamen_L": 0.35]["Temporal_Sup_L": 0.15],["Left Putamen": 0.34]["Left Insula Lobe": 0.31]["Left Superior Temporal Gyrus": 0.25],["Left Lentiform Nucleus": 0.41]["Left Insula": 0.29]["Left Claustrum": 0.20],["Left Putamen": 0.43]["Left Insular Cortex": 0.40]
131, 160, (-50.0;21.1;9.8),["None": 0.95],["Frontal_Inf_Tri_L": 0.93],["Left Inferior Frontal Gyrus (p. Triangularis)": 0.96],["Left Inferior Frontal Gyrus": 0.96],["Left Inferior Frontal Gyrus; pars opercularis": 0.53]["Left Inferior Frontal Gyrus; pars triangularis": 0.38]
132, 107, (-10.0;-25.3;-3.4),["None": 0.89]["post cingulate": 0.11],["Thalamus_L": 0.50]["None": 0.25]["Hippocampus_L": 0.20],["Left Thalamus": 0.31]["None": 0.28]["Left Hippocampus": 0.17]["Left ParaHippocampal Gyrus": 0.13],["None": 0.46]["Left Thalamus": 0.32]["Left Parahippocampal Gyrus": 0.19],["Left Thalamus": 0.58]["None": 0.30]
133, 115, (51.7;30.0;3.1),["None": 0.93],["Frontal_Inf_Tri_R": 0.82]["Frontal_Inf_Orb_R": 0.18],["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.56]["Right Inferior Frontal Gyrus (p. Triangularis)": 0.44],["Right Inferior Frontal Gyrus": 1.00],["Right Inferior Frontal Gyrus; pars triangularis": 0.74]["Right Frontal Pole": 0.17]
134, 87, (30.9;-70.5;-34.0),["None": 0.78]["inf cerebellum": 0.18],["Cerebelum_Crus1_R": 0.85],["Right Cerebellum": 0.47]["Right Cerebellum": 0.43],["Right Inferior Semi-Lunar Lobule": 0.72]["Right Pyramis": 0.16],["None": 1.00]
135, 126, (42.7;-73.9;32.8),["None": 0.85]["occipital": 0.15],["Occipital_Mid_R": 0.67]["Angular_R": 0.33],["Right Middle Occipital Gyrus": 0.82],["Right Middle Temporal Gyrus": 0.35]["Right Precuneus": 0.29]["Right Angular Gyrus": 0.20]["Right Superior Occipital Gyrus": 0.13],["Right Lateral Occipital Cortex; superior division": 1.00]
136, 112, (-8.6;-84.6;-28.1),["None": 0.96],["Cerebelum_Crus2_L": 0.68]["Cerebelum_Crus1_L": 0.30],["Left Cerebellum": 0.80]["Left Cerebellum": 0.20],["Left Pyramis": 0.41]["Left Uvula": 0.27]["None": 0.19],["None": 0.96]
137, 112, (1.5;-38.5;30.5),["None": 0.90],["Cingulum_Post_L": 0.38]["Cingulum_Post_R": 0.25]["Cingulum_Mid_R": 0.22],["Left Posterior Cingulate Cortex": 0.38]["Right Posterior Cingulate Cortex": 0.37]["Right Middle Cingulate Cortex": 0.11],["Right Cingulate Gyrus": 0.41]["Left Cingulate Gyrus": 0.23]["Left Posterior Cingulate": 0.19]["Right Posterior Cingulate": 0.17],["Right Cingulate Gyrus; posterior division": 0.74]["Left Cingulate Gyrus; posterior division": 0.26]
138, 138, (-53.7;-54.9;34.6),["None": 0.84]["IPL": 0.13],["Angular_L": 0.39]["Parietal_Inf_L": 0.38]["SupraMarginal_L": 0.23],["Left Angular Gyrus": 0.35]["Left SupraMarginal Gyrus": 0.27]["Left Inferior Parietal Lobule ": 0.19]["Left Middle Temporal Gyrus": 0.12],["Left Supramarginal Gyrus": 0.61]["Left Inferior Parietal Lobule": 0.15]["Left Angular Gyrus": 0.12]["Left Superior Temporal Gyrus": 0.11],["Left Angular Gyrus": 0.52]["Left Supramarginal Gyrus; posterior division": 0.35]["Left Lateral Occipital Cortex; superior division": 0.13]
139, 94, (-16.4;-10.4;-18.5),["None": 1.00],["Hippocampus_L": 0.50]["ParaHippocampal_L": 0.30]["Amygdala_L": 0.12],["Left ParaHippocampal Gyrus": 0.49]["Left Hippocampus": 0.31]["Left Amygdala": 0.20],["Left Parahippocampal Gyrus": 0.65]["Left Uncus": 0.24]["None": 0.11],["Left Amygdala": 0.38]["Left Hippocampus": 0.33]["Left Parahippocampal Gyrus; anterior division": 0.27]
140, 101, (-42.6;41.6;-9.7),["None": 1.00],["Frontal_Inf_Orb_L": 0.87]["Frontal_Mid_Orb_L": 0.13],["Left Inferior Frontal Gyrus (p. Orbitalis)": 0.88],["Left Middle Frontal Gyrus": 0.87],["Left Frontal Pole": 0.91]
141, 159, (57.2;-48.4;33.1),["None": 0.93],["SupraMarginal_R": 0.50]["Angular_R": 0.45],["Right Angular Gyrus": 0.44]["Right SupraMarginal Gyrus": 0.30]["Right Superior Temporal Gyrus": 0.17],["Right Supramarginal Gyrus": 0.77]["Right Inferior Parietal Lobule": 0.19],["Right Angular Gyrus": 0.68]["Right Supramarginal Gyrus; posterior division": 0.32]
142, 120, (7.0;62.0;10.2),["None": 0.87]["vmPFC": 0.12],["Frontal_Sup_Medial_R": 0.93],["Right Superior Medial Gyrus": 0.78]["Right Mid Orbital Gyrus": 0.15],["Right Medial Frontal Gyrus": 0.68]["Right Superior Frontal Gyrus": 0.25],["Right Frontal Pole": 0.98]
143, 68, (42.7;7.4;-40.9),["None": 1.00],["Temporal_Inf_R": 0.65]["Temporal_Pole_Mid_R": 0.31],["Right Inferior Temporal Gyrus": 0.40]["None": 0.32]["Right Medial Temporal Pole": 0.28],["None": 0.59]["Right Middle Temporal Gyrus": 0.38],["Right Temporal Pole": 0.94]
144, 111, (5.6;-66.2;-33.6),["None": 0.96],["Vermis_8": 0.48]["Cerebelum_8_R": 0.32],["Cerebellar Vermis": 0.60]["Right Cerebellum": 0.20],["Right Inferior Semi-Lunar Lobule": 0.51]["Right Uvula": 0.28],["None": 1.00]
145, 128, (-25.5;-12.8;65.2),["None": 1.00],["Precentral_L": 0.74]["Frontal_Sup_L": 0.23],["Left Precentral Gyrus": 0.78]["Left Superior Frontal Gyrus": 0.19],["Left Precentral Gyrus": 0.52]["Left Middle Frontal Gyrus": 0.26]["Left Superior Frontal Gyrus": 0.15],["Left Precentral Gyrus": 0.77]["Left Superior Frontal Gyrus": 0.15]
146, 130, (27.6;-47.1;-10.0),["None": 0.97],["Fusiform_R": 0.68]["Lingual_R": 0.16],["Right Fusiform Gyrus": 0.69]["Right Cerebellum": 0.13],["Right Culmen": 0.39]["Right Fusiform Gyrus": 0.28]["Right Parahippocampal Gyrus": 0.21]["Right Declive": 0.12],["Right Temporal Occipital Fusiform Cortex": 0.55]["Right Lingual Gyrus": 0.44]
147, 79, (25.2;-15.8;66.5),["None": 1.00],["Precentral_R": 0.58]["Frontal_Sup_R": 0.42],["RightPrecentral Gyrus": 0.81]["Right Superior Frontal Gyrus": 0.16],["Right Precentral Gyrus": 0.63]["None": 0.15]["Right Middle Frontal Gyrus": 0.14],["Right Precentral Gyrus": 1.00]
148, 105, (-36.6;9.1;7.1),["None": 0.92],["Insula_L": 0.78]["Frontal_Inf_Oper_L": 0.18],["Left Insula Lobe": 0.73]["Left Inferior Frontal Gyrus (p. Opercularis)": 0.23],["Left Insula": 0.80]["Left Claustrum": 0.12],["Left Insular Cortex": 0.52]["Left Central Opercular Cortex": 0.24]["Left Frontal Operculum Cortex": 0.20]
149, 113, (0.7;41.5;-15.5),["None": 1.00],["Rectus_L": 0.37]["Rectus_R": 0.31]["Frontal_Med_Orb_L": 0.19]["Frontal_Med_Orb_R": 0.13],["Left Rectal Gyrus": 0.37]["Right Rectal Gyrus": 0.33]["Left Mid Orbital Gyrus": 0.19]["Right Mid Orbital Gyrus": 0.11],["Left Medial Frontal Gyrus": 0.36]["Right Medial Frontal Gyrus": 0.26]["Left Rectal Gyrus": 0.12]["Right Rectal Gyrus": 0.11],["Right Frontal Medial Cortex": 0.60]["Left Frontal Medial Cortex": 0.29]
150, 108, (14.5;19.1;61.4),["None": 1.00],["Supp_Motor_Area_R": 0.50]["Frontal_Sup_R": 0.42],["Right Superior Frontal Gyrus": 0.55]["Right SMA": 0.36],["Right Superior Frontal Gyrus": 0.88],["Right Superior Frontal Gyrus": 0.99]
